tf,session,setup,filters,target,trades,win%,PF,net$,/mo@0.5%,folds+,worst_fold$,robust
15m,asian,ob,bias,fix3,577,44.5,1.05,414,17,3/6,-210,False
15m,asian,ob,bias,struct,577,44.5,1.05,414,17,3/6,-210,False
15m,ny,ob,pd+bias,fix2,246,39.4,1.1,411,17,4/6,-115,False
1h,all,sweep,bias+mss,fix3,84,46.4,1.34,411,17,4/6,-63,False
1h,all,sweep,bias+mss,struct,84,46.4,1.34,411,17,4/6,-63,False
5m,ny,ob,pd+bias+mss,fix3,218,48.6,1.13,410,17,3/6,-156,False
5m,ny,ob,pd+bias+mss,struct,218,48.6,1.13,410,17,3/6,-156,False
15m,ny,ob,pd+bias,fix3,251,45.8,1.11,407,17,4/6,-57,False
15m,ny,ob,pd+bias,struct,251,45.8,1.11,407,17,4/6,-57,False
1h,asian,fvg,raw,fix3,371,40.2,1.06,400,17,2/6,-457,False
1h,asian,fvg,raw,struct,371,40.2,1.06,400,17,2/6,-457,False
1h,london+ny,fvg,pd+bias+sweep,fix3,30,53.3,2.02,397,17,4/6,-33,False
1h,london+ny,fvg,pd+bias+sweep,struct,30,53.3,2.02,397,17,4/6,-33,False
15m,all,ob,pd+sweep,fix2,769,37.8,1.03,395,16,3/6,-590,False
1h,ny,fvg,pd+bias+sweep,fix3,22,59.1,2.46,374,16,3/6,-52,False
1h,ny,fvg,pd+bias+sweep,struct,22,59.1,2.46,374,16,3/6,-52,False
1h,all,ob,pd+bias+mss,fix2,61,44.3,1.4,371,15,4/6,-112,False
1h,all,fvg,pd+bias+sweep,fix2,67,46.3,1.36,368,15,4/6,-30,False
1h,london+ny,fvg,pd+bias,fix2,68,45.6,1.35,367,15,4/6,-150,False
15m,ny,ob,pd+bias+sweep+mss,fix2,58,44.8,1.41,355,15,4/6,-59,False
15m,london,fvg,pd+bias,fix2,119,43.7,1.16,329,14,4/6,-141,False
15m,london+ny,fvg,pd+bias+sweep,fix3,139,48.9,1.16,329,14,4/6,-168,False
15m,london+ny,fvg,pd+bias+sweep,struct,139,48.9,1.16,329,14,4/6,-168,False
1h,london+ny,ob,pd+bias,fix3,90,43.3,1.24,326,14,2/6,-95,False
1h,london+ny,ob,pd+bias,struct,90,43.3,1.24,326,14,2/6,-95,False
1h,asian,ob,bias,fix2,158,38.6,1.12,318,13,3/6,-116,False
1h,asian,ob,pd,fix3,159,42.8,1.13,315,13,3/6,-240,False
1h,asian,ob,pd,struct,159,42.8,1.13,315,13,3/6,-240,False
1h,all,ob,pd+bias+mss,fix3,61,47.5,1.36,309,13,3/6,-138,False
1h,all,ob,pd+bias+mss,struct,61,47.5,1.36,309,13,3/6,-138,False
5m,all,ob,pd+bias+mss,fix3,851,47.1,1.02,303,13,4/6,-1192,False
5m,all,ob,pd+bias+mss,struct,851,47.1,1.02,303,13,4/6,-1192,False
15m,london+ny,fvg,raw,fix3,1036,45.0,1.02,301,13,3/6,-498,False
15m,london+ny,fvg,raw,struct,1036,45.0,1.02,301,13,3/6,-498,False
15m,asian,ob,pd+bias+mss,fix3,115,47.8,1.17,291,12,4/6,-48,False
15m,asian,ob,pd+bias+mss,struct,115,47.8,1.17,291,12,4/6,-48,False
