tf,session,setup,filters,target,is_n,is_win,is_net,is_pf,oos_n,oos_win,oos_net,oos_pf,total_net,PASS
1h,ny,ob,pd+bias,struct,49,51.0,546,1.86,19,47.4,100,1.39,646,False
15m,london,ob,pd+bias,struct,121,40.5,-124,0.94,46,43.5,98,1.15,-26,False
15m,all,sweep,raw,fix2,1384,32.3,-4621,0.82,839,35.2,89,1.01,-4532,False
5m,london,ob,pd+sweep,struct,310,43.5,-146,0.97,191,42.4,87,1.03,-59,False
15m,london,ob,pd+sweep,struct,161,36.6,-596,0.78,69,42.0,87,1.08,-509,False
15m,london,ob,pd+sweep,fix2,160,32.5,-441,0.85,69,36.2,85,1.07,-356,False
1h,asian,ob,pd+bias+sweep,struct,17,35.3,-26,0.91,10,50.0,85,1.67,59,False
5m,all,ob,pd+sweep,struct,1372,41.0,-2487,0.89,803,42.0,75,1.01,-2412,False
1h,all,fvg,pd+bias,fix2,108,52.8,1182,1.83,45,37.8,73,1.1,1256,False
15m,all,sweep,bias+mss,struct,291,37.8,-866,0.82,120,41.7,72,1.04,-794,False
1h,asian,sweep,bias+mss,fix2,17,35.3,-4,0.99,6,50.0,71,1.93,67,False
5m,london+ny,ob,pd+bias+sweep+mss,fix2,107,51.4,1172,1.84,40,37.5,70,1.11,1242,False
1h,ny,sweep,bias+mss,fix2,22,40.9,98,1.29,4,50.0,70,3.42,168,False
5m,all,ob,pd,fix2,1368,32.5,-4747,0.81,742,35.7,61,1.0,-4687,False
1h,london,ob,pd+sweep,struct,34,47.1,151,1.32,18,44.4,58,1.23,209,False
1h,asian,sweep,bias+mss,struct,17,41.2,88,1.33,6,50.0,58,1.76,146,False
15m,london,ob,pd+bias+sweep,fix2,72,36.1,2,1.0,21,38.1,55,1.16,58,False
15m,ny,ob,pd+bias+sweep,struct,101,42.6,85,1.06,52,42.3,53,1.07,138,False
1h,london,fvg,pd+bias,fix2,19,31.6,-84,0.77,15,40.0,52,1.22,-32,False
1h,ny,sweep,bias+mss,struct,22,40.9,10,1.03,4,50.0,52,2.8,62,False
1h,all,ob,pd+bias+sweep+mss,fix2,24,41.7,118,1.32,4,50.0,47,1.93,166,False
1h,asian,ob,pd+bias+sweep,fix2,17,35.3,4,1.01,10,40.0,45,1.29,49,False
1h,asian,fvg,pd+bias,fix2,53,49.1,428,1.57,15,40.0,45,1.19,473,False
15m,london,ob,pd+bias+sweep,struct,72,38.9,-153,0.87,21,42.9,42,1.14,-110,False
1h,all,ob,pd+bias+sweep+mss,struct,24,45.8,130,1.38,4,50.0,42,1.83,172,False
15m,asian,sweep,bias+mss,struct,113,39.8,-220,0.88,42,42.9,41,1.06,-179,False
5m,ny,ob,pd+bias+sweep+mss,fix2,75,54.7,1004,2.1,27,37.0,38,1.08,1042,False
15m,ny,ob,pd,fix2,341,31.4,-1202,0.81,209,34.9,29,1.01,-1173,False
1h,ny,fvg,bias,fix2,82,51.2,834,1.74,27,37.0,29,1.06,863,False
15m,london+ny,ob,raw,struct,573,43.1,720,1.08,359,40.4,24,1.0,744,False
1h,london+ny,sweep,bias+mss,fix2,34,41.2,151,1.29,6,33.3,19,1.24,170,False
15m,london,ob,pd+bias+sweep+mss,struct,19,42.1,26,1.09,2,50.0,18,1.69,44,False
1h,ny,ob,pd,fix2,118,32.2,-268,0.87,58,34.5,14,1.01,-254,False
1h,ny,fvg,raw,fix2,155,42.6,602,1.24,59,35.6,10,1.01,612,False
5m,london,ob,pd+bias+sweep+mss,fix2,32,43.8,168,1.35,14,35.7,5,1.02,173,False
1h,london+ny,sweep,bias+mss,struct,34,47.1,155,1.33,6,33.3,1,1.01,156,False
1h,asian,ob,pd+bias+sweep+mss,fix2,6,66.7,142,3.64,0,0.0,0,0.0,142,False
1h,asian,ob,pd+bias+sweep+mss,struct,6,66.7,118,3.19,0,0.0,0,0.0,118,False
1h,ny,ob,pd+bias+sweep+mss,fix2,6,33.3,-7,0.93,0,0.0,0,0.0,-7,False
1h,ny,ob,pd+bias+sweep+mss,struct,6,33.3,0,1.0,0,0.0,0,0.0,0,False
1h,london+ny,fvg,raw,struct,237,44.7,1787,1.49,111,36.9,0,1.0,1787,False
1h,asian,sweep,bias,fix2,63,41.3,268,1.27,35,34.3,-3,1.0,265,False
15m,asian,sweep,bias+mss,fix2,111,35.1,-181,0.91,40,35.0,-4,0.99,-185,False
1h,ny,ob,pd+bias+sweep,fix2,26,46.2,222,1.61,6,33.3,-4,0.96,218,False
15m,asian,ob,pd+bias+sweep+mss,fix2,28,39.3,60,1.13,9,33.3,-8,0.95,52,False
15m,london,sweep,bias+mss,struct,47,36.2,-189,0.77,15,40.0,-12,0.95,-201,False
1h,london+ny,ob,pd+bias,struct,64,45.3,425,1.46,26,38.5,-16,0.96,410,False
1h,ny,ob,pd+bias+sweep,struct,26,53.8,260,1.83,6,33.3,-24,0.77,236,False
1h,london,ob,pd+bias+sweep+mss,fix2,2,50.0,21,1.76,1,0.0,-25,0.0,-4,False
1h,london,ob,pd+bias+sweep+mss,struct,2,50.0,15,1.55,1,0.0,-25,0.0,-10,False
1h,london+ny,ob,pd+bias+sweep+mss,fix2,8,37.5,14,1.1,1,0.0,-25,0.0,-12,False
1h,london+ny,ob,pd+bias+sweep+mss,struct,8,37.5,15,1.12,1,0.0,-25,0.0,-10,False
5m,all,sweep,bias,struct,2066,39.5,-6617,0.81,1076,42.0,-30,1.0,-6647,False
1h,london+ny,ob,pd+bias+sweep,fix2,32,40.6,139,1.28,10,30.0,-30,0.83,109,False
15m,london+ny,fvg,pd+bias,struct,211,48.8,713,1.23,90,40.0,-33,0.98,680,False
15m,asian,ob,pd+bias+sweep+mss,struct,29,44.8,33,1.08,9,33.3,-36,0.77,-3,False
1h,london+ny,fvg,pd+bias,struct,52,55.8,963,2.48,25,32.0,-40,0.91,923,False
1h,ny,sweep,bias,fix2,68,27.9,-357,0.72,23,30.4,-41,0.89,-397,False
1h,london,sweep,bias+mss,fix2,12,41.7,53,1.28,2,0.0,-51,0.0,2,False
1h,london,sweep,bias+mss,struct,12,58.3,145,2.08,2,0.0,-51,0.0,94,False
15m,london,ob,pd+bias+sweep+mss,fix2,19,36.8,6,1.02,2,0.0,-52,0.0,-46,False
1h,london,ob,pd+bias+sweep,fix2,6,16.7,-83,0.37,5,20.0,-52,0.49,-135,False
5m,london,ob,pd+bias+sweep+mss,struct,33,48.5,94,1.2,14,35.7,-55,0.77,38,False
1h,london,ob,pd+bias,fix2,17,23.5,-148,0.57,11,27.3,-57,0.72,-205,False
1h,all,sweep,bias,fix2,201,33.3,-308,0.91,88,33.0,-59,0.96,-367,False
1h,ny,sweep,raw,struct,148,27.0,-1279,0.55,66,34.8,-61,0.94,-1340,False
1h,london+ny,ob,pd+bias+sweep,struct,32,50.0,235,1.56,10,30.0,-62,0.65,173,False
1h,london,ob,pd+bias+sweep,struct,6,33.3,-25,0.76,5,20.0,-63,0.38,-88,False
1h,all,ob,pd,struct,160,38.1,58,1.02,67,35.8,-65,0.94,-8,False
15m,london,sweep,bias,struct,130,42.3,47,1.02,59,39.0,-67,0.93,-19,False
1h,london+ny,fvg,pd+bias,fix2,52,51.9,565,1.81,25,32.0,-68,0.85,497,False
15m,london,sweep,bias+mss,fix2,47,34.0,-97,0.89,14,28.6,-71,0.73,-168,False
1h,all,ob,raw,fix2,186,40.9,793,1.27,79,32.9,-71,0.95,722,False
